127.0.0.1 - - [16/Jul/2021:16:14:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/main.jsp HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/css/style.css?v=3 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/img/logo2.png HTTP/1.1" 200 7797
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /carrot/img/1.jpg HTTP/1.1" 200 1171192
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:49 +0900] "GET /carrot/header.jsp HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:14:55 +0900] "GET /carrot/header.jsp HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:23:40 +0900] "GET /carrot/join.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:25:57 +0900] "GET /carrot/login.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:26:07 +0900] "GET /carrot/loginjsp HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:26:13 +0900] "GET /carrot/login.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:26:13 +0900] "GET /carrot/css/style.css?v=7 HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:26:47 +0900] "GET /carrot/main.jsp HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:26:52 +0900] "GET /carrot/join.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [16/Jul/2021:16:27:30 +0900] "GET /carrot/signup.jsp HTTP/1.1" 404 802
